
活动连接

  协议  本地地址          外部地址        状态           PID
  UDP    [::]:62839             *:*                                    3180
  UDP    [::]:64036             *:*                                    3180
  UDP    [::]:64761             [2606:4700:4400::6812:247a]:443                  22028
  UDP    [::1]:1900             *:*                                    5708
  UDP    [::1]:6771             *:*                                    11404
  UDP    [::1]:14036            *:*                                    10488
  UDP    [::1]:53837            *:*                                    5708
  UDP    [::1]:63886            *:*                                    11404
  UDP    [2408:8256:88a:b7f3:5b0e:47b2:14e:3d84]:6771  *:*                                    11404
  UDP    [2408:8256:88a:b7f3:5b0e:47b2:14e:3d84]:14036  *:*                                    10488
  UDP    [2408:8256:88a:b7f3:5b0e:47b2:14e:3d84]:63879  *:*                                    11404
  UDP    [2408:8256:88a:b7f3:5b0e:47b2:14e:3d84]:64055  *:*                                    10488
  UDP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:6771  *:*                                    11404
  UDP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:14036  *:*                                    10488
  UDP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:50844  *:*                                    10488
  UDP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:63880  *:*                                    11404
  UDP    [fe80::5cd:2936:c7f5:38ae%32]:1900  *:*                                    5708
  UDP    [fe80::5cd:2936:c7f5:38ae%32]:6771  *:*                                    11404
  UDP    [fe80::5cd:2936:c7f5:38ae%32]:14036  *:*                                    10488
  UDP    [fe80::5cd:2936:c7f5:38ae%32]:53836  *:*                                    5708
  UDP    [fe80::5cd:2936:c7f5:38ae%32]:63884  *:*                                    11404
  UDP    [fe80::8354:5ca1:5775:b667%27]:1900  *:*                                    5708
  UDP    [fe80::8354:5ca1:5775:b667%27]:6771  *:*                                    11404
  UDP    [fe80::8354:5ca1:5775:b667%27]:14036  *:*                                    10488
  UDP    [fe80::8354:5ca1:5775:b667%27]:53834  *:*                                    5708
  UDP    [fe80::8354:5ca1:5775:b667%27]:63881  *:*                                    11404
  UDP    [fe80::c029:dc54:891b:2905%31]:6771  *:*                                    11404
  UDP    [fe80::c029:dc54:891b:2905%31]:63885  *:*                                    11404
  UDP    [fe80::c032:fbb7:1272:c8a8%28]:1900  *:*                                    5708
  UDP    [fe80::c032:fbb7:1272:c8a8%28]:6771  *:*                                    11404
  UDP    [fe80::c032:fbb7:1272:c8a8%28]:14036  *:*                                    10488
  UDP    [fe80::c032:fbb7:1272:c8a8%28]:53835  *:*                                    5708
  UDP    [fe80::c032:fbb7:1272:c8a8%28]:63883  *:*                                    11404
  UDP    [fe80::d55c:ccd0:f479:84f3%33]:1900  *:*                                    5708
  UDP    [fe80::d55c:ccd0:f479:84f3%33]:6771  *:*                                    11404
  UDP    [fe80::d55c:ccd0:f479:84f3%33]:14036  *:*                                    10488
  UDP    [fe80::d55c:ccd0:f479:84f3%33]:53838  *:*                                    5708
  UDP    [fe80::d55c:ccd0:f479:84f3%33]:63887  *:*                                    11404
  UDP    [fe80::d98c:8fe3:b47e:f905%10]:6771  *:*                                    11404
  UDP    [fe80::d98c:8fe3:b47e:f905%10]:63882  *:*                                    11404
